"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description","treatment"
"LOC115112827",73.9283352640066,1.17466584530182,0.12013378022802,3.27069929303495,0.00107281920463127,0.0651305078424534,"serum amyloid A-5 protein-like","liver"
"LOC115138574",64.640341795556,0.868616205929979,0.123942575128135,-2.1976756448012,0.0279722283493636,0.232593816289407,"sacsin-like, transcript variant X3","liver"
"LOC115117925",79.5360811812178,0.672034371175072,0.117126510262638,1.83191228919973,0.0669644893362486,0.334585404241115,"lysozyme C II","liver"
"LOC115127642",126.239346903355,0.5888192389695,0.121269407355757,0.958897025899748,0.337610623199059,0.642854561010753,"lysozyme C II","liver"
"smc5",119.328697531419,0.529342387639351,0.122895877468107,1.8710837741838,0.0613334702303382,0.323326800909387,"structural maintenance of chromosomes 5","liver"
"LOC115131673",100.828268389963,0.512328788834861,0.114927281332937,4.45936207964213,8.22039500787107e-06,0.0266090237597237,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-like","liver"
"LOC115146293",46.7356256965599,0.508549497487165,0.122010236958099,4.16686614416849,3.08815706047042e-05,0.0266090237597237,"MARCKS-related protein 1-A-like","liver"
"LOC115123393",64.7158361251913,0.482405059362898,0.117143740465001,1.72927352946586,0.083760151850159,0.369749661724783,"COP9 signalosome complex subunit 1-like","liver"
"LOC115133286",1165.23663080331,0.48117386353455,0.115324646503945,2.03600407950817,0.0417499456264032,0.274093247682177,"40S ribosomal protein S4","liver"
"LOC115122299",289.917971707057,0.47967616647852,0.123329606524968,3.92227813442093,8.77156522313642e-05,0.0290814747469895,"mannose-binding protein C-like","liver"
"LOC115122904",1451.66527029585,0.471630037123366,0.113505962044671,2.2187061450861,0.0265067226952032,0.22778836580992,"40S ribosomal protein S4-like","liver"
"wdr45",103.888393846575,0.467446129558957,0.114965331832403,4.06780267087006,4.74585435863265e-05,0.0266090237597237,"WD repeat domain 45","liver"
"LOC115123161",148.108566323141,0.461704430406344,0.113450334535929,4.07031044235659,4.69505305261578e-05,0.0266090237597237,"ferritin, middle subunit-like","liver"
"LOC115133295",217.205891168774,0.460542318462258,0.112880344528024,4.08223627232926,4.46044153184795e-05,0.0266090237597237,"oligosaccharyltransferase complex subunit ostc, transcript variant X2","liver"
"LOC115143107",70.0593520219347,0.447815503173765,0.0946352833681856,1.31375067294415,0.188930122215003,0.509765257826169,"uncharacterized LOC115143107, transcript variant X1","liver"
"LOC115125161",136.916425934153,0.43737672781861,0.109401407619454,3.99709653677824,6.41241551709696e-05,0.0278496138534842,"60S ribosomal protein L32-like","liver"
"LOC115106387",42.5959204661262,0.435274741532482,0.111248639567932,3.90890715575252,9.27145847406678e-05,0.0290814747469895,"dnaJ homolog subfamily C member 9-like, transcript variant X1","liver"
"LOC115103576",155.560057498132,0.429795680211136,0.124151553893219,3.47174584528783,0.000517085627282196,0.0524348943476314,"dispanin subfamily A member 2b-like","liver"
"LOC115128702",153.550384216592,0.429050912489256,0.100415429073338,4.27269731349469,1.93122531444276e-05,0.0266090237597237,"26S proteasome complex subunit SEM1","liver"
"LOC115140820",44.8772531554541,0.427859222305237,0.123508697040015,3.47317826082424,0.000514333619570576,0.0524348943476314,"zinc finger MYM-type protein 1-like, transcript variant X1","liver"
"LOC115115591",159.659982995134,0.414982099977755,0.123871218791574,3.35824935493106,0.000784378204723866,0.0562441821509167,"dispanin subfamily A member 2b-like","liver"
"LOC115102635",163.755141995053,0.413999732628387,0.120970082483593,3.42593933840533,0.000612677198683964,0.0524348943476314,"keratin, type I cytoskeletal 18-like","liver"
"atp5mpl",683.925896584146,0.411417798841887,0.121189824563645,3.39894444943182,0.000676464543682208,0.0537932227271795,"ATP synthase membrane subunit 6.8PL","liver"
"LOC115135536",522.407341118967,0.410657887759881,0.11878648711508,3.45970764101206,0.000540762169236155,0.0524348943476314,"V-type proton ATPase catalytic subunit A-like","liver"
"LOC115105984",82.9916507740992,0.410152046984202,0.119926235366483,3.42581941628445,0.000612947755392078,0.0524348943476314,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8-like","liver"
"LOC115108050",229.733258146964,0.409099942906647,0.124109913347057,3.31153327324401,0.000927862050912837,0.061467463240845,"kinesin-like protein KIF14, transcript variant X1","liver"
